txn_id,branch_id,city,amount,transaction_status,txn_date,customer_id
BANB2_TXN_0001,BAN_B2,Bangalore,3316.91,SUCCESS,2025-05-03,CUST3159
BANB2_TXN_0002,BAN_B2,Bangalore,2466.16,SUCCESS,2025-05-05,CUST8031
BANB2_TXN_0003,BAN_B2,Bangalore,9020.87,FAILED,2025-05-02,CUST2062
BANB2_TXN_0004,BAN_B2,Bangalore,6878.2,SUCCESS,2025-05-02,CUST4875
BANB2_TXN_0005,BAN_B2,Bangalore,9163.17,PENDING,2025-05-06,CUST5020
BANB2_TXN_0006,BAN_B2,Bangalore,8302.13,SUCCESS,2025-05-02,CUST3636
BANB2_TXN_0007,BAN_B2,Bangalore,3451.46,SUCCESS,2025-05-01,CUST2926
BANB2_TXN_0008,BAN_B2,Bangalore,9553.37,PENDING,2025-05-02,CUST1381
BANB2_TXN_0009,BAN_B2,Bangalore,4902.92,SUCCESS,2025-05-04,CUST8200
BANB2_TXN_0010,BAN_B2,Bangalore,3938.9,FAILED,2025-05-05,CUST8827
BANB2_TXN_0011,BAN_B2,Bangalore,7104.14,PENDING,2025-05-07,CUST7492
BANB2_TXN_0012,BAN_B2,Bangalore,7523.47,SUCCESS,2025-05-02,CUST4221
BANB2_TXN_0013,BAN_B2,Bangalore,4140.84,SUCCESS,2025-05-06,CUST4778
BANB2_TXN_0014,BAN_B2,Bangalore,3681.93,SUCCESS,2025-05-05,CUST4196
BANB2_TXN_0015,BAN_B2,Bangalore,3378.03,SUCCESS,2025-05-07,CUST8540
BANB2_TXN_0016,BAN_B2,Bangalore,3544.57,FAILED,2025-05-06,CUST6644
BANB2_TXN_0017,BAN_B2,Bangalore,3820.3,SUCCESS,2025-05-01,CUST3564
BANB2_TXN_0018,BAN_B2,Bangalore,5579.07,SUCCESS,2025-05-05,CUST7738
BANB2_TXN_0019,BAN_B2,Bangalore,484.55,SUCCESS,2025-05-04,CUST3964
BANB2_TXN_0020,BAN_B2,Bangalore,6757.94,SUCCESS,2025-05-03,CUST1808
BANB2_TXN_0021,BAN_B2,Bangalore,196.16,SUCCESS,2025-05-05,CUST4724
BANB2_TXN_0022,BAN_B2,Bangalore,8948.96,SUCCESS,2025-05-02,CUST3789
BANB2_TXN_0023,BAN_B2,Bangalore,2598.1,SUCCESS,2025-05-05,CUST3890
BANB2_TXN_0024,BAN_B2,Bangalore,2130.96,SUCCESS,2025-05-01,CUST8691
BANB2_TXN_0025,BAN_B2,Bangalore,5364.98,SUCCESS,2025-05-02,CUST8714
BANB2_TXN_0026,BAN_B2,Bangalore,210.05,FAILED,2025-05-02,CUST9327
BANB2_TXN_0027,BAN_B2,Bangalore,6020.29,SUCCESS,2025-05-04,CUST6571
BANB2_TXN_0028,BAN_B2,Bangalore,9282.95,SUCCESS,2025-05-02,CUST2986
BANB2_TXN_0029,BAN_B2,Bangalore,4380.64,SUCCESS,2025-05-07,CUST4056
BANB2_TXN_0030,BAN_B2,Bangalore,392.81,SUCCESS,2025-05-06,CUST2811
BANB2_TXN_0031,BAN_B2,Bangalore,5321.78,SUCCESS,2025-05-06,CUST9976
BANB2_TXN_0032,BAN_B2,Bangalore,6730.18,SUCCESS,2025-05-07,CUST3435
BANB2_TXN_0033,BAN_B2,Bangalore,7625.02,SUCCESS,2025-05-05,CUST2911
BANB2_TXN_0034,BAN_B2,Bangalore,7855.53,SUCCESS,2025-05-07,CUST5346
BANB2_TXN_0035,BAN_B2,Bangalore,3133.67,SUCCESS,2025-05-07,CUST7821
BANB2_TXN_0036,BAN_B2,Bangalore,815.0,FAILED,2025-05-05,CUST6810
BANB2_TXN_0037,BAN_B2,Bangalore,8003.16,SUCCESS,2025-05-07,CUST8998
BANB2_TXN_0038,BAN_B2,Bangalore,9546.18,SUCCESS,2025-05-04,CUST9729
BANB2_TXN_0039,BAN_B2,Bangalore,3023.33,PENDING,2025-05-02,CUST2330
BANB2_TXN_0040,BAN_B2,Bangalore,8087.94,SUCCESS,2025-05-07,CUST8848
BANB2_TXN_0041,BAN_B2,Bangalore,3470.12,SUCCESS,2025-05-05,CUST7336
BANB2_TXN_0042,BAN_B2,Bangalore,6844.92,SUCCESS,2025-05-06,CUST1043
BANB2_TXN_0043,BAN_B2,Bangalore,6686.15,SUCCESS,2025-05-07,CUST6463
BANB2_TXN_0044,BAN_B2,Bangalore,4465.64,SUCCESS,2025-05-01,CUST1437
BANB2_TXN_0045,BAN_B2,Bangalore,6240.94,SUCCESS,2025-05-05,CUST2902
BANB2_TXN_0046,BAN_B2,Bangalore,9474.09,FAILED,2025-05-01,CUST1254
BANB2_TXN_0047,BAN_B2,Bangalore,5106.33,SUCCESS,2025-05-07,CUST6652
BANB2_TXN_0048,BAN_B2,Bangalore,2280.83,SUCCESS,2025-05-05,CUST9319
BANB2_TXN_0049,BAN_B2,Bangalore,4906.06,SUCCESS,2025-05-01,CUST1914
BANB2_TXN_0050,BAN_B2,Bangalore,1577.86,FAILED,2025-05-04,CUST8114
BANB2_TXN_0051,BAN_B2,Bangalore,9356.63,SUCCESS,2025-05-07,CUST3267
BANB2_TXN_0052,BAN_B2,Bangalore,2379.0,SUCCESS,2025-05-05,CUST7453
BANB2_TXN_0053,BAN_B2,Bangalore,1260.37,SUCCESS,2025-05-07,CUST9674
BANB2_TXN_0054,BAN_B2,Bangalore,5030.3,SUCCESS,2025-05-01,CUST7882
BANB2_TXN_0055,BAN_B2,Bangalore,2592.59,PENDING,2025-05-05,CUST9511
BANB2_TXN_0056,BAN_B2,Bangalore,6582.09,SUCCESS,2025-05-03,CUST6390
BANB2_TXN_0057,BAN_B2,Bangalore,4316.48,SUCCESS,2025-05-06,CUST7914
BANB2_TXN_0058,BAN_B2,Bangalore,1024.23,FAILED,2025-05-04,CUST4689
BANB2_TXN_0059,BAN_B2,Bangalore,9530.86,SUCCESS,2025-05-06,CUST1248
BANB2_TXN_0060,BAN_B2,Bangalore,120.7,SUCCESS,2025-05-01,CUST9230
BANB2_TXN_0061,BAN_B2,Bangalore,4282.35,SUCCESS,2025-05-03,CUST8155
BANB2_TXN_0062,BAN_B2,Bangalore,6496.19,SUCCESS,2025-05-07,CUST2798
BANB2_TXN_0063,BAN_B2,Bangalore,2173.83,SUCCESS,2025-05-07,CUST8144
BANB2_TXN_0064,BAN_B2,Bangalore,4195.54,PENDING,2025-05-06,CUST1927
BANB2_TXN_0065,BAN_B2,Bangalore,8620.96,SUCCESS,2025-05-07,CUST2355
BANB2_TXN_0066,BAN_B2,Bangalore,2604.43,SUCCESS,2025-05-06,CUST9147
BANB2_TXN_0067,BAN_B2,Bangalore,5902.46,PENDING,2025-05-07,CUST5388
BANB2_TXN_0068,BAN_B2,Bangalore,5583.66,SUCCESS,2025-05-02,CUST8912
BANB2_TXN_0069,BAN_B2,Bangalore,8543.49,SUCCESS,2025-05-01,CUST1559
BANB2_TXN_0070,BAN_B2,Bangalore,4013.6,SUCCESS,2025-05-07,CUST8721
BANB2_TXN_0071,BAN_B2,Bangalore,3038.83,SUCCESS,2025-05-03,CUST6419
BANB2_TXN_0072,BAN_B2,Bangalore,5182.06,SUCCESS,2025-05-04,CUST3355
BANB2_TXN_0073,BAN_B2,Bangalore,6475.19,PENDING,2025-05-05,CUST5201
BANB2_TXN_0074,BAN_B2,Bangalore,6677.8,FAILED,2025-05-03,CUST4294
BANB2_TXN_0075,BAN_B2,Bangalore,2958.32,FAILED,2025-05-04,CUST2515
BANB2_TXN_0076,BAN_B2,Bangalore,5488.02,SUCCESS,2025-05-02,CUST1597
BANB2_TXN_0077,BAN_B2,Bangalore,9732.29,FAILED,2025-05-01,CUST2839
BANB2_TXN_0078,BAN_B2,Bangalore,4628.54,SUCCESS,2025-05-02,CUST3060
BANB2_TXN_0079,BAN_B2,Bangalore,7123.26,SUCCESS,2025-05-01,CUST9759
BANB2_TXN_0080,BAN_B2,Bangalore,4969.77,SUCCESS,2025-05-06,CUST8154
BANB2_TXN_0081,BAN_B2,Bangalore,6751.72,SUCCESS,2025-05-05,CUST3534
BANB2_TXN_0082,BAN_B2,Bangalore,7518.51,SUCCESS,2025-05-03,CUST1883
BANB2_TXN_0083,BAN_B2,Bangalore,2982.12,SUCCESS,2025-05-06,CUST7619
