txn_id,branch_id,city,amount,transaction_status,txn_date,customer_id
BANB1_TXN_0001,BAN_B1,Bangalore,5511.27,SUCCESS,2025-05-04,CUST3326
BANB1_TXN_0002,BAN_B1,Bangalore,2536.0,SUCCESS,2025-05-07,CUST6482
BANB1_TXN_0003,BAN_B1,Bangalore,439.71,SUCCESS,2025-05-07,CUST6319
BANB1_TXN_0004,BAN_B1,Bangalore,942.11,FAILED,2025-05-06,CUST6362
BANB1_TXN_0005,BAN_B1,Bangalore,6838.1,SUCCESS,2025-05-03,CUST1139
BANB1_TXN_0006,BAN_B1,Bangalore,7690.91,PENDING,2025-05-01,CUST3431
BANB1_TXN_0007,BAN_B1,Bangalore,5317.18,PENDING,2025-05-04,CUST6086
BANB1_TXN_0008,BAN_B1,Bangalore,5768.59,SUCCESS,2025-05-04,CUST6048
BANB1_TXN_0009,BAN_B1,Bangalore,8840.55,SUCCESS,2025-05-02,CUST8087
BANB1_TXN_0010,BAN_B1,Bangalore,4328.34,FAILED,2025-05-06,CUST4768
BANB1_TXN_0011,BAN_B1,Bangalore,1615.84,SUCCESS,2025-05-05,CUST9285
BANB1_TXN_0012,BAN_B1,Bangalore,7456.38,SUCCESS,2025-05-07,CUST9645
BANB1_TXN_0013,BAN_B1,Bangalore,4300.71,SUCCESS,2025-05-07,CUST4707
BANB1_TXN_0014,BAN_B1,Bangalore,3144.87,SUCCESS,2025-05-06,CUST7504
BANB1_TXN_0015,BAN_B1,Bangalore,495.93,SUCCESS,2025-05-04,CUST9943
BANB1_TXN_0016,BAN_B1,Bangalore,7177.09,SUCCESS,2025-05-02,CUST6462
BANB1_TXN_0017,BAN_B1,Bangalore,7988.51,SUCCESS,2025-05-02,CUST4698
BANB1_TXN_0018,BAN_B1,Bangalore,3702.48,SUCCESS,2025-05-04,CUST8028
BANB1_TXN_0019,BAN_B1,Bangalore,1310.63,FAILED,2025-05-03,CUST2997
BANB1_TXN_0020,BAN_B1,Bangalore,1265.4,FAILED,2025-05-05,CUST4631
BANB1_TXN_0021,BAN_B1,Bangalore,6359.61,SUCCESS,2025-05-06,CUST2998
BANB1_TXN_0022,BAN_B1,Bangalore,2649.33,SUCCESS,2025-05-04,CUST2797
BANB1_TXN_0023,BAN_B1,Bangalore,5159.31,SUCCESS,2025-05-03,CUST6716
BANB1_TXN_0024,BAN_B1,Bangalore,5366.03,FAILED,2025-05-06,CUST2676
BANB1_TXN_0025,BAN_B1,Bangalore,9853.94,SUCCESS,2025-05-02,CUST4975
BANB1_TXN_0026,BAN_B1,Bangalore,1183.11,SUCCESS,2025-05-04,CUST2141
BANB1_TXN_0027,BAN_B1,Bangalore,6756.08,SUCCESS,2025-05-03,CUST4571
BANB1_TXN_0028,BAN_B1,Bangalore,8894.06,PENDING,2025-05-06,CUST7976
BANB1_TXN_0029,BAN_B1,Bangalore,5720.1,SUCCESS,2025-05-05,CUST8513
BANB1_TXN_0030,BAN_B1,Bangalore,698.97,SUCCESS,2025-05-04,CUST4144
BANB1_TXN_0031,BAN_B1,Bangalore,1798.26,SUCCESS,2025-05-07,CUST9433
BANB1_TXN_0032,BAN_B1,Bangalore,6126.69,SUCCESS,2025-05-03,CUST4783
BANB1_TXN_0033,BAN_B1,Bangalore,5867.32,FAILED,2025-05-07,CUST6662
BANB1_TXN_0034,BAN_B1,Bangalore,1470.64,SUCCESS,2025-05-06,CUST7218
BANB1_TXN_0035,BAN_B1,Bangalore,3522.65,SUCCESS,2025-05-06,CUST9167
BANB1_TXN_0036,BAN_B1,Bangalore,9553.28,SUCCESS,2025-05-02,CUST9845
BANB1_TXN_0037,BAN_B1,Bangalore,8896.91,SUCCESS,2025-05-01,CUST4506
BANB1_TXN_0038,BAN_B1,Bangalore,3098.85,SUCCESS,2025-05-02,CUST8271
BANB1_TXN_0039,BAN_B1,Bangalore,8399.53,SUCCESS,2025-05-03,CUST7757
BANB1_TXN_0040,BAN_B1,Bangalore,2529.52,SUCCESS,2025-05-06,CUST3957
BANB1_TXN_0041,BAN_B1,Bangalore,8956.12,SUCCESS,2025-05-04,CUST7732
BANB1_TXN_0042,BAN_B1,Bangalore,8965.17,SUCCESS,2025-05-03,CUST8317
BANB1_TXN_0043,BAN_B1,Bangalore,8418.5,SUCCESS,2025-05-06,CUST4887
BANB1_TXN_0044,BAN_B1,Bangalore,8838.76,SUCCESS,2025-05-05,CUST2034
BANB1_TXN_0045,BAN_B1,Bangalore,5640.12,SUCCESS,2025-05-06,CUST9242
BANB1_TXN_0046,BAN_B1,Bangalore,6650.03,FAILED,2025-05-04,CUST2326
BANB1_TXN_0047,BAN_B1,Bangalore,6512.48,SUCCESS,2025-05-07,CUST1942
BANB1_TXN_0048,BAN_B1,Bangalore,3018.5,SUCCESS,2025-05-06,CUST8431
BANB1_TXN_0049,BAN_B1,Bangalore,2106.02,SUCCESS,2025-05-01,CUST9404
BANB1_TXN_0050,BAN_B1,Bangalore,688.18,SUCCESS,2025-05-05,CUST9325
BANB1_TXN_0051,BAN_B1,Bangalore,1834.19,FAILED,2025-05-01,CUST3782
BANB1_TXN_0052,BAN_B1,Bangalore,7183.32,SUCCESS,2025-05-07,CUST2265
BANB1_TXN_0053,BAN_B1,Bangalore,4565.34,SUCCESS,2025-05-03,CUST2721
BANB1_TXN_0054,BAN_B1,Bangalore,2838.45,FAILED,2025-05-05,CUST4117
BANB1_TXN_0055,BAN_B1,Bangalore,510.67,SUCCESS,2025-05-01,CUST5534
BANB1_TXN_0056,BAN_B1,Bangalore,2019.78,PENDING,2025-05-07,CUST3794
BANB1_TXN_0057,BAN_B1,Bangalore,7566.66,FAILED,2025-05-02,CUST4905
BANB1_TXN_0058,BAN_B1,Bangalore,6765.19,SUCCESS,2025-05-07,CUST3686
BANB1_TXN_0059,BAN_B1,Bangalore,2493.45,SUCCESS,2025-05-02,CUST3807
BANB1_TXN_0060,BAN_B1,Bangalore,4221.51,SUCCESS,2025-05-06,CUST3634
BANB1_TXN_0061,BAN_B1,Bangalore,6469.62,SUCCESS,2025-05-07,CUST2546
BANB1_TXN_0062,BAN_B1,Bangalore,2347.66,FAILED,2025-05-04,CUST2184
BANB1_TXN_0063,BAN_B1,Bangalore,5499.32,SUCCESS,2025-05-04,CUST4751
BANB1_TXN_0064,BAN_B1,Bangalore,8826.37,SUCCESS,2025-05-02,CUST7922
BANB1_TXN_0065,BAN_B1,Bangalore,9897.62,SUCCESS,2025-05-07,CUST2217
BANB1_TXN_0066,BAN_B1,Bangalore,3747.5,SUCCESS,2025-05-01,CUST6742
BANB1_TXN_0067,BAN_B1,Bangalore,6116.83,SUCCESS,2025-05-07,CUST3534
BANB1_TXN_0068,BAN_B1,Bangalore,133.26,SUCCESS,2025-05-03,CUST1473
BANB1_TXN_0069,BAN_B1,Bangalore,4813.99,SUCCESS,2025-05-02,CUST4550
BANB1_TXN_0070,BAN_B1,Bangalore,5535.65,SUCCESS,2025-05-05,CUST3916
BANB1_TXN_0071,BAN_B1,Bangalore,2452.43,SUCCESS,2025-05-07,CUST1206
BANB1_TXN_0072,BAN_B1,Bangalore,7880.74,SUCCESS,2025-05-02,CUST3136
BANB1_TXN_0073,BAN_B1,Bangalore,3998.76,SUCCESS,2025-05-03,CUST2428
BANB1_TXN_0074,BAN_B1,Bangalore,8408.09,SUCCESS,2025-05-02,CUST8247
BANB1_TXN_0075,BAN_B1,Bangalore,9884.11,SUCCESS,2025-05-05,CUST5577
BANB1_TXN_0076,BAN_B1,Bangalore,8244.89,FAILED,2025-05-07,CUST8048
BANB1_TXN_0077,BAN_B1,Bangalore,5500.34,SUCCESS,2025-05-05,CUST4096
BANB1_TXN_0078,BAN_B1,Bangalore,9554.18,SUCCESS,2025-05-04,CUST6863
BANB1_TXN_0079,BAN_B1,Bangalore,4968.76,PENDING,2025-05-02,CUST6280
BANB1_TXN_0080,BAN_B1,Bangalore,988.82,FAILED,2025-05-07,CUST3349
BANB1_TXN_0081,BAN_B1,Bangalore,3675.83,SUCCESS,2025-05-04,CUST4502
BANB1_TXN_0082,BAN_B1,Bangalore,9623.68,FAILED,2025-05-03,CUST1272
BANB1_TXN_0083,BAN_B1,Bangalore,4540.25,PENDING,2025-05-07,CUST2517
BANB1_TXN_0084,BAN_B1,Bangalore,664.69,FAILED,2025-05-02,CUST1106
BANB1_TXN_0085,BAN_B1,Bangalore,4301.17,SUCCESS,2025-05-04,CUST2609
BANB1_TXN_0086,BAN_B1,Bangalore,7272.92,SUCCESS,2025-05-07,CUST5155
BANB1_TXN_0087,BAN_B1,Bangalore,2725.36,SUCCESS,2025-05-06,CUST7943
BANB1_TXN_0088,BAN_B1,Bangalore,4235.26,SUCCESS,2025-05-06,CUST2714
BANB1_TXN_0089,BAN_B1,Bangalore,6337.91,FAILED,2025-05-02,CUST4244
BANB1_TXN_0090,BAN_B1,Bangalore,3088.86,FAILED,2025-05-04,CUST9001
BANB1_TXN_0091,BAN_B1,Bangalore,3882.02,SUCCESS,2025-05-06,CUST1571
BANB1_TXN_0092,BAN_B1,Bangalore,8447.67,PENDING,2025-05-03,CUST8130
BANB1_TXN_0093,BAN_B1,Bangalore,8139.44,FAILED,2025-05-06,CUST8776
BANB1_TXN_0094,BAN_B1,Bangalore,4906.21,SUCCESS,2025-05-05,CUST6215
BANB1_TXN_0095,BAN_B1,Bangalore,8248.25,SUCCESS,2025-05-05,CUST4356
