txn_id,branch_id,city,amount,transaction_status,txn_date,customer_id
CHEB1_TXN_0001,CHE_B1,Chennai,461.31,SUCCESS,2025-05-02,CUST1801
CHEB1_TXN_0002,CHE_B1,Chennai,5638.2,SUCCESS,2025-05-02,CUST6328
CHEB1_TXN_0003,CHE_B1,Chennai,6027.06,SUCCESS,2025-05-03,CUST1861
CHEB1_TXN_0004,CHE_B1,Chennai,7878.32,SUCCESS,2025-05-03,CUST7366
CHEB1_TXN_0005,CHE_B1,Chennai,1735.22,SUCCESS,2025-05-07,CUST9691
CHEB1_TXN_0006,CHE_B1,Chennai,5370.96,SUCCESS,2025-05-01,CUST6890
CHEB1_TXN_0007,CHE_B1,Chennai,6036.03,SUCCESS,2025-05-01,CUST5378
CHEB1_TXN_0008,CHE_B1,Chennai,101.97,FAILED,2025-05-06,CUST9197
CHEB1_TXN_0009,CHE_B1,Chennai,3162.66,FAILED,2025-05-06,CUST5330
CHEB1_TXN_0010,CHE_B1,Chennai,2096.78,PENDING,2025-05-03,CUST8919
CHEB1_TXN_0011,CHE_B1,Chennai,4976.77,SUCCESS,2025-05-03,CUST6425
CHEB1_TXN_0012,CHE_B1,Chennai,7968.3,SUCCESS,2025-05-03,CUST6597
CHEB1_TXN_0013,CHE_B1,Chennai,3220.6,SUCCESS,2025-05-02,CUST2785
CHEB1_TXN_0014,CHE_B1,Chennai,9093.0,FAILED,2025-05-07,CUST3311
CHEB1_TXN_0015,CHE_B1,Chennai,8879.4,SUCCESS,2025-05-04,CUST3318
CHEB1_TXN_0016,CHE_B1,Chennai,9269.9,SUCCESS,2025-05-03,CUST7153
CHEB1_TXN_0017,CHE_B1,Chennai,502.81,FAILED,2025-05-03,CUST7682
CHEB1_TXN_0018,CHE_B1,Chennai,2207.3,FAILED,2025-05-06,CUST5772
CHEB1_TXN_0019,CHE_B1,Chennai,9694.64,SUCCESS,2025-05-05,CUST2033
CHEB1_TXN_0020,CHE_B1,Chennai,4981.81,FAILED,2025-05-02,CUST1205
CHEB1_TXN_0021,CHE_B1,Chennai,8624.05,SUCCESS,2025-05-06,CUST7996
CHEB1_TXN_0022,CHE_B1,Chennai,6809.9,SUCCESS,2025-05-07,CUST7445
CHEB1_TXN_0023,CHE_B1,Chennai,454.81,FAILED,2025-05-01,CUST4615
CHEB1_TXN_0024,CHE_B1,Chennai,3312.99,SUCCESS,2025-05-07,CUST7575
CHEB1_TXN_0025,CHE_B1,Chennai,2462.14,SUCCESS,2025-05-05,CUST2000
CHEB1_TXN_0026,CHE_B1,Chennai,8176.83,SUCCESS,2025-05-01,CUST1783
CHEB1_TXN_0027,CHE_B1,Chennai,6501.81,FAILED,2025-05-01,CUST8146
CHEB1_TXN_0028,CHE_B1,Chennai,672.46,FAILED,2025-05-03,CUST7196
CHEB1_TXN_0029,CHE_B1,Chennai,3691.33,SUCCESS,2025-05-01,CUST4266
CHEB1_TXN_0030,CHE_B1,Chennai,7099.15,SUCCESS,2025-05-02,CUST6674
CHEB1_TXN_0031,CHE_B1,Chennai,6228.47,SUCCESS,2025-05-04,CUST2491
CHEB1_TXN_0032,CHE_B1,Chennai,5405.3,SUCCESS,2025-05-01,CUST8253
CHEB1_TXN_0033,CHE_B1,Chennai,8233.69,FAILED,2025-05-02,CUST5860
CHEB1_TXN_0034,CHE_B1,Chennai,4282.32,FAILED,2025-05-03,CUST9130
CHEB1_TXN_0035,CHE_B1,Chennai,9166.42,SUCCESS,2025-05-07,CUST9216
CHEB1_TXN_0036,CHE_B1,Chennai,1034.76,SUCCESS,2025-05-04,CUST9189
CHEB1_TXN_0037,CHE_B1,Chennai,6361.91,FAILED,2025-05-07,CUST5582
CHEB1_TXN_0038,CHE_B1,Chennai,5372.38,FAILED,2025-05-01,CUST5382
CHEB1_TXN_0039,CHE_B1,Chennai,7243.39,SUCCESS,2025-05-01,CUST1024
CHEB1_TXN_0040,CHE_B1,Chennai,7371.13,FAILED,2025-05-06,CUST2352
CHEB1_TXN_0041,CHE_B1,Chennai,7735.29,SUCCESS,2025-05-02,CUST9680
CHEB1_TXN_0042,CHE_B1,Chennai,8807.42,FAILED,2025-05-03,CUST1470
CHEB1_TXN_0043,CHE_B1,Chennai,3559.11,SUCCESS,2025-05-05,CUST8426
CHEB1_TXN_0044,CHE_B1,Chennai,5051.73,FAILED,2025-05-06,CUST1294
CHEB1_TXN_0045,CHE_B1,Chennai,9103.94,FAILED,2025-05-07,CUST5467
CHEB1_TXN_0046,CHE_B1,Chennai,5182.19,SUCCESS,2025-05-06,CUST7856
CHEB1_TXN_0047,CHE_B1,Chennai,4901.4,SUCCESS,2025-05-06,CUST5995
CHEB1_TXN_0048,CHE_B1,Chennai,645.22,SUCCESS,2025-05-04,CUST7477
CHEB1_TXN_0049,CHE_B1,Chennai,9198.4,FAILED,2025-05-01,CUST7157
CHEB1_TXN_0050,CHE_B1,Chennai,7766.78,SUCCESS,2025-05-02,CUST1852
CHEB1_TXN_0051,CHE_B1,Chennai,1785.47,FAILED,2025-05-03,CUST3561
CHEB1_TXN_0052,CHE_B1,Chennai,7373.74,SUCCESS,2025-05-06,CUST6093
CHEB1_TXN_0053,CHE_B1,Chennai,6938.29,PENDING,2025-05-06,CUST7548
CHEB1_TXN_0054,CHE_B1,Chennai,1854.84,FAILED,2025-05-07,CUST4978
CHEB1_TXN_0055,CHE_B1,Chennai,6565.38,SUCCESS,2025-05-06,CUST3339
