txn_id,branch_id,city,amount,transaction_status,txn_date,customer_id
HYDB2_TXN_0001,HYD_B2,Hyderabad,1660.57,SUCCESS,2025-05-05,CUST6037
HYDB2_TXN_0002,HYD_B2,Hyderabad,6301.43,PENDING,2025-05-04,CUST2220
HYDB2_TXN_0003,HYD_B2,Hyderabad,6000.37,FAILED,2025-05-01,CUST1896
HYDB2_TXN_0004,HYD_B2,Hyderabad,6907.04,SUCCESS,2025-05-02,CUST4015
HYDB2_TXN_0005,HYD_B2,Hyderabad,1959.49,SUCCESS,2025-05-07,CUST9896
HYDB2_TXN_0006,HYD_B2,Hyderabad,6783.81,SUCCESS,2025-05-01,CUST9660
HYDB2_TXN_0007,HYD_B2,Hyderabad,9240.98,FAILED,2025-05-02,CUST6288
HYDB2_TXN_0008,HYD_B2,Hyderabad,378.49,SUCCESS,2025-05-07,CUST7401
HYDB2_TXN_0009,HYD_B2,Hyderabad,4684.99,FAILED,2025-05-04,CUST8661
HYDB2_TXN_0010,HYD_B2,Hyderabad,9949.43,SUCCESS,2025-05-05,CUST3146
HYDB2_TXN_0011,HYD_B2,Hyderabad,9007.08,SUCCESS,2025-05-06,CUST1480
HYDB2_TXN_0012,HYD_B2,Hyderabad,9778.18,SUCCESS,2025-05-06,CUST3403
HYDB2_TXN_0013,HYD_B2,Hyderabad,7602.56,SUCCESS,2025-05-01,CUST6149
HYDB2_TXN_0014,HYD_B2,Hyderabad,2838.25,SUCCESS,2025-05-06,CUST9044
HYDB2_TXN_0015,HYD_B2,Hyderabad,3559.29,SUCCESS,2025-05-04,CUST4894
HYDB2_TXN_0016,HYD_B2,Hyderabad,528.49,SUCCESS,2025-05-04,CUST8128
HYDB2_TXN_0017,HYD_B2,Hyderabad,467.22,SUCCESS,2025-05-06,CUST5388
HYDB2_TXN_0018,HYD_B2,Hyderabad,6482.01,SUCCESS,2025-05-05,CUST8839
HYDB2_TXN_0019,HYD_B2,Hyderabad,5077.58,SUCCESS,2025-05-02,CUST1106
HYDB2_TXN_0020,HYD_B2,Hyderabad,4045.12,FAILED,2025-05-07,CUST7392
HYDB2_TXN_0021,HYD_B2,Hyderabad,6549.87,FAILED,2025-05-01,CUST4803
HYDB2_TXN_0022,HYD_B2,Hyderabad,4636.35,FAILED,2025-05-04,CUST7078
HYDB2_TXN_0023,HYD_B2,Hyderabad,2805.57,SUCCESS,2025-05-04,CUST6631
HYDB2_TXN_0024,HYD_B2,Hyderabad,7675.38,SUCCESS,2025-05-01,CUST3729
HYDB2_TXN_0025,HYD_B2,Hyderabad,7287.43,SUCCESS,2025-05-06,CUST8915
HYDB2_TXN_0026,HYD_B2,Hyderabad,6198.78,SUCCESS,2025-05-07,CUST4287
HYDB2_TXN_0027,HYD_B2,Hyderabad,4178.03,SUCCESS,2025-05-01,CUST5955
HYDB2_TXN_0028,HYD_B2,Hyderabad,7495.63,SUCCESS,2025-05-04,CUST5303
HYDB2_TXN_0029,HYD_B2,Hyderabad,4123.46,SUCCESS,2025-05-05,CUST1029
HYDB2_TXN_0030,HYD_B2,Hyderabad,237.8,SUCCESS,2025-05-03,CUST8082
HYDB2_TXN_0031,HYD_B2,Hyderabad,9289.73,FAILED,2025-05-05,CUST2764
HYDB2_TXN_0032,HYD_B2,Hyderabad,1056.26,SUCCESS,2025-05-06,CUST3830
HYDB2_TXN_0033,HYD_B2,Hyderabad,9147.36,FAILED,2025-05-02,CUST1029
HYDB2_TXN_0034,HYD_B2,Hyderabad,658.7,SUCCESS,2025-05-01,CUST5184
HYDB2_TXN_0035,HYD_B2,Hyderabad,4758.81,SUCCESS,2025-05-01,CUST8927
HYDB2_TXN_0036,HYD_B2,Hyderabad,1325.32,SUCCESS,2025-05-07,CUST4929
HYDB2_TXN_0037,HYD_B2,Hyderabad,8898.14,FAILED,2025-05-06,CUST9162
HYDB2_TXN_0038,HYD_B2,Hyderabad,2559.89,SUCCESS,2025-05-07,CUST5766
HYDB2_TXN_0039,HYD_B2,Hyderabad,6456.28,SUCCESS,2025-05-03,CUST5571
HYDB2_TXN_0040,HYD_B2,Hyderabad,5608.88,SUCCESS,2025-05-04,CUST1196
HYDB2_TXN_0041,HYD_B2,Hyderabad,2866.8,SUCCESS,2025-05-03,CUST1628
HYDB2_TXN_0042,HYD_B2,Hyderabad,1449.34,SUCCESS,2025-05-01,CUST3137
HYDB2_TXN_0043,HYD_B2,Hyderabad,8239.41,SUCCESS,2025-05-04,CUST5008
HYDB2_TXN_0044,HYD_B2,Hyderabad,1896.17,SUCCESS,2025-05-02,CUST2887
HYDB2_TXN_0045,HYD_B2,Hyderabad,4694.54,SUCCESS,2025-05-02,CUST1652
HYDB2_TXN_0046,HYD_B2,Hyderabad,3089.39,SUCCESS,2025-05-06,CUST7121
HYDB2_TXN_0047,HYD_B2,Hyderabad,8068.85,SUCCESS,2025-05-04,CUST4440
HYDB2_TXN_0048,HYD_B2,Hyderabad,8605.78,SUCCESS,2025-05-03,CUST6235
