txn_id,branch_id,city,amount,transaction_status,txn_date,customer_id
BANB2_TXN_0003,BAN_B2,Bangalore,9020.87,FAILED,2025-05-02,CUST2062
BANB2_TXN_0010,BAN_B2,Bangalore,3938.9,FAILED,2025-05-05,CUST8827
BANB2_TXN_0016,BAN_B2,Bangalore,3544.57,FAILED,2025-05-06,CUST6644
BANB2_TXN_0026,BAN_B2,Bangalore,210.05,FAILED,2025-05-02,CUST9327
BANB2_TXN_0036,BAN_B2,Bangalore,815.0,FAILED,2025-05-05,CUST6810
BANB2_TXN_0046,BAN_B2,Bangalore,9474.09,FAILED,2025-05-01,CUST1254
BANB2_TXN_0050,BAN_B2,Bangalore,1577.86,FAILED,2025-05-04,CUST8114
BANB2_TXN_0058,BAN_B2,Bangalore,1024.23,FAILED,2025-05-04,CUST4689
BANB2_TXN_0074,BAN_B2,Bangalore,6677.8,FAILED,2025-05-03,CUST4294
BANB2_TXN_0075,BAN_B2,Bangalore,2958.32,FAILED,2025-05-04,CUST2515
BANB2_TXN_0077,BAN_B2,Bangalore,9732.29,FAILED,2025-05-01,CUST2839
BANB2_TXN_0094,BAN_B2,Bangalore,8057.99,FAILED,2025-05-02,CUST6529
BANB2_TXN_0095,BAN_B2,Bangalore,8424.67,FAILED,2025-05-01,CUST1048
BANB2_TXN_0097,BAN_B2,Bangalore,1873.69,FAILED,2025-05-06,CUST4490
BANB2_TXN_0099,BAN_B2,Bangalore,1723.39,FAILED,2025-05-06,CUST2866
BANB2_TXN_0102,BAN_B2,Bangalore,8503.19,FAILED,2025-05-07,CUST5592
BANB2_TXN_0128,BAN_B2,Bangalore,2985.43,FAILED,2025-05-04,CUST8387
BANB2_TXN_0129,BAN_B2,Bangalore,5222.5,FAILED,2025-05-04,CUST6938
BANB2_TXN_0140,BAN_B2,Bangalore,2515.51,FAILED,2025-05-02,CUST9182
BANB2_TXN_0145,BAN_B2,Bangalore,9157.74,FAILED,2025-05-04,CUST8677
BANB2_TXN_0148,BAN_B2,Bangalore,8766.9,FAILED,2025-05-03,CUST2246
BANB2_TXN_0151,BAN_B2,Bangalore,3652.88,FAILED,2025-05-04,CUST1399
BANB2_TXN_0153,BAN_B2,Bangalore,5060.31,FAILED,2025-05-05,CUST5662
BANB2_TXN_0158,BAN_B2,Bangalore,1666.5,FAILED,2025-05-01,CUST5399
BANB2_TXN_0159,BAN_B2,Bangalore,1930.33,FAILED,2025-05-02,CUST8184
BANB2_TXN_0165,BAN_B2,Bangalore,9001.6,FAILED,2025-05-04,CUST1853
BANB2_TXN_0167,BAN_B2,Bangalore,8107.33,FAILED,2025-05-05,CUST9952
BANB2_TXN_0174,BAN_B2,Bangalore,2639.71,FAILED,2025-05-03,CUST6050
BANB2_TXN_0178,BAN_B2,Bangalore,8686.4,FAILED,2025-05-02,CUST3175
BANB2_TXN_0181,BAN_B2,Bangalore,4848.33,FAILED,2025-05-04,CUST8184
BANB2_TXN_0184,BAN_B2,Bangalore,984.96,FAILED,2025-05-04,CUST5378
BANB2_TXN_0191,BAN_B2,Bangalore,2797.96,FAILED,2025-05-07,CUST3367
BANB2_TXN_0197,BAN_B2,Bangalore,5416.18,FAILED,2025-05-05,CUST8038
HYDB2_TXN_0003,HYD_B2,Hyderabad,6000.37,FAILED,2025-05-01,CUST1896
HYDB2_TXN_0007,HYD_B2,Hyderabad,9240.98,FAILED,2025-05-02,CUST6288
